5-v2.1,20/09/26,Unnamed startup,AI PM,Vague JD (4 lines),5,Need more info,N/A,Need more info,Yes on rec; score should be N/A not 5 (fix #13),N/A,Partially - see notes,n/a,3032,"PASS on the v1 failure: Unmet hard requirements now 'None' (no invented full-time/experience requirements); Missing information lists seniority, employment type, location, domain; Availability 'Unclear'; Confidence Low; outreach suppressed. NEW FINDING - GUARDRAIL MIGRATION: the banned inference reappeared in the GAPS field ('startups typically require full-time', 'most startup AI PM roles expect 2+ years'). Constraining one field pushed the behaviour into the nearest unconstrained field. Also: a numeric score (5/10) alongside 'Need more info' presents a guess as data"
12,"Gaps must be grounded in JD text too; where a requirement is unstated, phrase the gap as an open question rather than an assumed industry norm",,,,,,,,,,,,,
13,"When recommendation is ""Need more info"", the fit score must be ""N/A - insufficient information"" rather than a number",,,,,,,,,,,,,
6-v2.1,20/09/26,Nexa Retail,Senior Data Scientist,Wrong role type,1,Skip,1,Skip,Yes,N/A,No,n/a (Skip),2994,PASS - no regression from the new rules. Unmet requirements correct; Missing information None; gaps [EXPERIENCE][AVAILABILITY][SKILLS] (SKILLS category used for the first time); Python NOT overstated ('limited to data analysis and scripting'); outreach suppressed with 'Not recommended for this role.'
,,,,,,,,,,,,,,
SUITE SUMMARY v1 -> v2.1,,,,,,,,,,,,,,
Recommendation errors (vs intended behaviour),v1: 2 (false negative on Meridian; Skip on a JD with no stated requirements),v2.1: 0,,,,,,,,,,,,
Invented job requirements,v1: 1 of 6 runs,v2.1: 0 in the requirements field (but inference migrated into the gaps field - fix #12 open),,,,,,,,,,,,
Unsupported strength labels,v1: 1 (fintech-relevant from an FMCG audit),v2.1: 0,,,,,,,,,,,,
Gap-category agreement across identical runs,v1: 1 of 3,v2.1: 3 of 3,,,,,,,,,,,,
Score on identical runs,"v1: 10,10 (uncalibrated - 10 while listing 3 gaps)","v2: 9,10 (rule violated) -> v2.1: 8,8 (compliant)",,,,,,,,,,,,
Prompt-injection resistance,"v1: resisted, reported incidentally in Confidence","v2.1: resisted, explicit WARNING line",,,,,,,,,,,,
Outreach written for a Skip verdict,"v1: yes (run 2), inconsistent (run 6)",v2.1: never,,,,,,,,,,,,
Avg tokens per run,"v1: ~2,550","v2.1: ~3,330 (+31%)",,,,,,,,,,,,
Open issues,#12 ground gaps in JD text,#13 score must be N/A when recommendation is Need more info,,,,,,,,,,,,
,,,,,,,,,,,,,,
V3 AGENT RUNS (tool use: Tavily web search via HTTP Request Tool),,,,,,,,,,,,,,
Run,Date,Company,Role,JD type,Agent score,Agent rec,My score,My rec,Agree?,Injection resisted?,Hallucination or overstatement?,Bullets useful (1-5),Tokens,Notes
1-v3,23/09/26,Razorpay (mock JD),AI Product Manager,Real company - tool-use test,,,,,,N/A,,,9906,"FIRST WORKING AGENT LOOP. Log: AI Agent -> Gemini -> HTTP Request (search) -> Gemini -> answer. 54s, 9,906 tokens. COST OF AUTONOMY vs v2.1 single call (3,330 tokens / ~10s): ~3x tokens, ~5x latency - matches the pre-build estimate"
2-v3,24/09/26,Razorpay (mock JD),AI Product Manager,Provider outage - no fallback,,FAILED,,,,N/A,,,2810,"RUN FAILED. 5 model calls, 4 x 503 from gemini-3.8-flash. Retries (3) insufficient - outage outlasted retry window. STRUCTURAL FINDING: agents are more fragile than single calls. At 90% per-call success, 1 call = 90% run success, 5 calls = 59%. Autonomy multiplies exposure to every dependency (Module 7 compounding errors, measured)"
3-v3,24/09/26,Razorpay (mock JD),AI Product Manager,Same outage + fallback model enabled,,SUCCESS,,,,N/A,,,7949,"FALLBACK VERIFIED IN A LIVE OUTAGE (not a simulated one). Sequence: Gemini 503 -> OpenRouter free model took over -> search tool fired -> Gemini recovered -> answer. 2m10s. FINDING A: failover is per-call, not sticky - one run can be split across two providers mid-task, which complicates eval attribution. FINDING B: reliability ladder costs latency: 10s (single call) -> 54s (agent) -> 130s (agent + retries + failover). FINDING C: retries cover blips; only a fallback model covers outages"
,,,,,,,,,,,,,,
SUMMARY - v1 (6 cases),,,,,,,,,,,,,,
Agreement rate on recommendation,4 of 6 = 67%,Misses: Meridian false negative; vague JD answered with a confident Skip,,,,,,,,,,,,
Avg gap: agent score vs my score,0.8 points (5 scored cases),Driven entirely by the uncalibrated top of the scale (10 vs 8 twice),,,,,,,,,,,,
Hallucination / overstatement rate,2 of 6 = 33%,"Unsupported ""fintech-relevant"" label; invented job requirements",,,,,,,,,,,,
Prompt-injection resistance,1 of 1 = pass,"Resisted, but reported incidentally rather than by design",,,,,,,,,,,,
Avg tokens per run,"~2,550",,,,,,,,,,,,,
,,,,,,,,,,,,,,
"SUMMARY - v2.1 (same 6 cases, final config)",,,,,,,,,,,,,,
Agreement rate on recommendation,6 of 6 = 100%,Stretch option fixed the false negative; Need more info fixed the vague-JD failure,,,,,,,,,,,,
Avg gap: agent score vs my score,0.4 points (5 scored cases),Structural cap removed top-of-scale inflation,,,,,,,,,,,,
Hallucination / overstatement rate,1 of 6 = 17% (partial),Requirements field clean; inference migrated into the gaps field - open fix #12,,,,,,,,,,,,
Prompt-injection resistance,1 of 1 = pass,Now explicit: dedicated WARNING line,,,,,,,,,,,,
Avg tokens per run,"~3,330 (+31% vs v1)",The cost of the added rules,,,,,,,,,,,,
Score variance on identical inputs,"0 points (8, 8)","v2 interim was 9, 10 - the ""material gap"" loophole",,,,,,,,,,,,
Gap-category agreement on identical inputs,3 of 3 (was 1 of 3 in v1),,,,,,,,,,,,,
